Pavia; Corso Garibaldi 11/B; Campo Base Garibaldi; 45.18262552087185, 9.157101326923815; +39 0382-309171; Trekking material, books and maps; https://www.viefrancigene.org/en/resource/accomodation/vf13-90-pavia-campo-base-garibaldi/
Pavia; Via Pasino 7; Ostello Santa Maria in Betlem; 45.180705553003875, 9.153829172477096; +39 3313046459; ; https://www.viefrancigene.org/en/resource/accomodation/vf13-40-pavia-ostello-santa-maria-betlem/
Pavia; Viale Brenta 3; Pavia Ostello; 45.19612485584435, 9.124092642847149; +39 0382528865; ; https://www.viefrancigene.org/en/resource/accomodation/vf13-90-pavia-pavia-ostello/
Spesso Po; Via Castello 4; Ostello Artemista; 45.11668578517899, 9.365824892440807; +39 0382 729919; ; https://www.viefrancigene.org/en/resource/accomodation/vf13-n7-ostello-artemista/
Santa Cristina; Via Vittorio Veneto 118; Parrocchia S. Cristina; 45.15782881884565, 9.39780714892242; +39 038270106, +39 3333429685; open: end of march to mid october, type: convents and parishes; https://www.viefrancigene.org/en/resource/accomodation/vf14-scristina-e-bissone-parrocchia-di-scristina-e/
Miradolo Terme; Piazza Iv Novembre 41; Parrocchia San Michele Arcangelo; 45.1726888306914, 9.444305434843267; +39 038277116, +39 339 2792925; type: convents and parishes, for: small groups, open: summer; https://www.viefrancigene.org/en/resource/accomodation/vf14-20-miradolo-terme-casa-canonica-parrocchia-sm/
Orio Litta; Piazza Dei Benedettini; Ostello Grangia Benedettina; 45.16176764027596, 9.553604437862298; +39 3483637103, +39 3351720018, +39 3356468587; ; https://www.viefrancigene.org/en/resource/accomodation/vf15-30-orio-litta-ostello-grangia-benedettina/
Corte Sant’Andrea; Corte Sant’Andrea; Ostello Ad Padum; 45.13222268577901, 9.557498969137344; +39 3391268946, +39 0377802155; ; https://www.viefrancigene.org/en/resource/accomodation/vf15-95-corte-santandrea-ostello-compagnia-di-sige/
Calendasco; Loc. Soprarivo; Caupona Di Sigerico; 45.0983265038448, 9.577211237239748; +39 0523.771607; for: small groups, type: hostel; https://www.viefrancigene.org/en/resource/accomodation/vf16-40-calendasco-caupona-di-sigerico/
Piacenza; Via Campagna; Loc. Santa Maria Di Campagna Convento Francescani; 45.05687990719425, 9.680667391595284; ;
Piacenza; Via Roma 51; Domus San Martino; 45.05201720153836, 9.697756594095344; +39 3491554608; type: bnb, open: all year, price: 60 for single 80 for double 100 for triple 120 for quad (may vary); https://www.viefrancigene.org/en/resource/accomodation/vf16-90-piacenza-domus-san-martino/
Piacenza; Via Emilia Parmense 189; Ostello San Pietro In Montale; 45.025031445059696, 9.744410620414653; +39 0523614256; ; https://www.viefrancigene.org/en/resource/accomodation/vf16-100-piacenza-ostello-spietro/
Piacenza; Via Trento 29c; Ostello Del Teatro; 45.043134951307636, 9.70844396327492; +39 0523 469599; open for pilgrims: april to september (open all year, getting free bed maybe possible); https://www.viefrancigene.org/en/resource/accomodation/vf16-90-piacenza-ostello-del-teatro/
Roveleto Di Cadeo; Via Emilia; Parrocchia Santa Teresa Benedetta Dalla Croce; 44.96511580487292, 9.852068753391276; +39 3334534501; information seems to be old copy paste from Ospitale Ca Dei; https://www.viefrancigene.org/en/resource/accomodation/vf17-80-roveleto-di-cadeo-parrocchia-s-teresa-benedetta/
Cadeo; Piazza Parroci Di Cadeo; Ospitale Ca Dei; 44.973960444721826, 9.83129202085947; +39 3334534501; no singles; https://www.viefrancigene.org/en/resource/accomodation/vf17-80-cadeo-ospitale-ca-dei/
Fiorenzuola; Piazza Molinari 15; Parrocchia Di San Fiorenzo; 44.928119357095234, 9.910629664494676; +39 3493016801, +39 0523982247; ; https://www.viefrancigene.org/en/resource/accomodation/vf17-20/
Alseno; Loc. Chiaravalle Della Colomba; Abbazia Chiaravalle Della Colomba; 44.926321133793074, 9.973645068017605; +39 3270284051; price: donation, 7 beds, convents and parishes, open all year, book asap; https://www.viefrancigene.org/en/resource/accomodation/vf17-20-alseno-abbazia-chiaravalle-della-colomba/
Fidenza; Via Giovanni Rossi 4; Ostello San Donnino; 44.866119992730155, 10.058106708432797; +39 3311367510; open: 1.4. to 31.10., 10 beds, price: 20.5 (opt towel 2.5); https://www.viefrancigene.org/en/resource/accomodation/vf18-80-fidenza-ostello-san-donnino/
Noceto; Via All'Isola 1; Ostello Comunale; [Coordinates]; +39 0521622137, +39 0521629149; +39 0521622137; https://www.viefrancigene.org/en/resource/accomodation/vf19-50-noceto-ostello-di-noceto/
Costa Mezzana Di Noceto; Via Costa Pavesi 47; La Famiglia Del Pellegrino; 44.7945011088624, 10.090574693223125; +39 3337942402, +39 3356398600; ; http://www.famigliadelpellegrino.it/
Comunità di Betania; Via San Pio da Pietrelcina, 3; Fraternità Francescana di Betania; 44.77230088832228, 10.097533941249866; +39 0521.624.052; ; https://www.viefrancigene.org/en/resource/accomodation/vf19-95-costamezzana-comunita-di-betania/
Medesano; Via Conciliazione 2; Oratorio Don Bosco; 44.75482437473577, 10.140311491019588; +39 0525422136, +39 0525 420447; type: convents and parishes; https://www.viefrancigene.org/en/resource/accomodation/vf18-80-medesano-parrocchia-spantaleone/
Fornovo Di Taro; Loc. Sivizzano; Ostello Parrocchia Santa Margherita Vergine E Martire; 44.36431087525412, 10.669829532920712; +39 052556258; type: convents and parishes, floor spots; https://www.viefrancigene.org/en/resource/accomodation/vf19-20-fornovo-di-taro-parrocchia-smargherita-ver/
